Beatmap,SR
2827578 | ch3rry [Sar4CORE! [1.35x Rate]],7.9005
480467 | Rave 7 [Insane],7.8932
3261964 | arpia97's Vibro Anthology [Soundscape],7.8878
888777 | Palette GAMMA [Myriad (Original)],7.8859
2414493 | Edison [Challenge 1.3],7.8838
1753423 | Quadraphinix [Challenge 1.5x],7.8811
3718968 | Fukashigi no Karte (K@keru Bootleg Remix) [Sar4CORE! [1.35x Rate]],7.8811
2295004 | Daichi ni Saku Senritsu [Impossible 1.2x],7.8747
3793375 | steganography [Cipher Encryption],7.8664
3353155 | volcanic [Challenge],7.8656
3261955 | arpia97's Vibro Anthology [KAEDE (Hydria)],7.8459
4377882 | The Azure Arbitrator [Play Trails],7.8442
1630540 | GHOST [x1.3],7.8384
3514859 | Me Tengo Que Ir [1.25],7.8371
3755587 | Odoru Mizushibuki [Macabre 1.3x (179bpm)],7.8338
1196413 | Palette GAMMA [Myriad],7.8334
3123871 | FUTURE DOMINATORS [NB5 Hard 54235 1.3x],7.8308
3261959 | arpia97's Vibro Anthology [MIND CONDUCTOR],7.8307
3341776 | The Blue Sanctuary [The Cradle of the Sky],7.8194
3090618 | unravel [escapist 1.15x (155bpm)],7.8124
3875944 | A [ex 1.3],7.8124
3957738 | Can You Feel My Heart (Cut Ver.) [Anguish 1.1x (141bpm)],7.8014
4009275 | Hylotl's LN Collection [Laur - Exitium],7.7938
3261942 | arpia97's Vibro Anthology [Believe x Believe],7.7912
2548264 | Cyberia lyr3 [Razor Blades [1.4x Rate]],7.7841
2557821 | More One Night (Assertive Hardcore Bootleg) [long ver.] [\o\ DAB /o/ x1.3],7.7799
4108895 | G e n g a o z o -Noize of Nocent- [Innocence 0.9x],7.7710
3440816 | Haunted (dive to the heart remix) [Fangs],7.7673
2650374 | H.A.R.D.C.O.R.E. [Hell [1.15x Rate]],7.7651
3986998 | Hustler (feat. Highdiwaan) [1.05x],7.7626
2357900 | Triumphal Return [dou-jack 1.15],7.7601
3328350 | Sendan Life (katagiri Bootleg) [Chord Life [155]],7.7548
918840 | 10Dollar Dump Dump Revolutions 2 part.3 [sweet ARMS - Installation [10Dollar Presents] 36],7.7522
2103854 | Vocaloid Chordjack Pack Vol.1 [Electric Angel ([Crz]Rachel)],7.7394
3820256 | Lazorbeamz [I'M A' FIRIN' MAH LAZER!! 1.2x],7.7380
3402547 | KAERU [Frog Regrets 1.2x (275bpm)],7.7297
2435721 | Gympie Gympe [GYMP 1.4],7.7246
4496828 | Deep Down (Sped Up Ver.) [You & I],7.7229
4905022 | Bring Our Ignition Back (Cut Ver.) [Ignition180],7.7229
"3670219 | HAVOX (Camellia's ""XATAXLYSM"" Remix) [Cataclysmic Havoc]",7.7220
3260217 | Ariabl'eyeS Collection [Shuuen no Kane],7.7156
3782699 | Reap What You Sow [1.15],7.7123
3261944 | arpia97's Vibro Anthology [Choumusubi Amulet],7.7120
1540660 | arpia97's Vibro Anthology [LegenD.],7.7117
4004787 | goTe EX [Metacognition],7.7065
3926312 | Adcar [Challenge x1.3],7.7063
2627287 | Forgotten [Extra (350bpm)],7.7061
4288498 | Frontier Explorer [Black Another [1.3x]],7.7055
3084905 | Matusa Bomber [1.1],7.7006
2573488 | Yoru ni Kakeru [a lonely night... x1.4],7.7005
2183959 | that schoolgirl [the worst [1.4x Rate]],7.6977
