Beatmap,SR,Objects,Variety,Spikiness
3718971 | Fukashigi no Karte (K@keru Bootleg Remix) [Sar4CORE! [1.4x Rate]],8.1353,4910,2.4188,1.0033
2333885 | White Hair Little Swords Girl [Youmu's Dream 1.025x],8.1348,3278,3.1357,0.9752
3361869 | Naruto RMX [Tsukuyomi 1.2x],8.1331,10935,2.3997,0.9631
3032791 | LTD Pack [Yooh vs. Siromaru - Antagonism],8.1239,3423,2.6050,1.0023
2827581 | ch3rry [Sar4CORE! [1.4x Rate]],8.1233,3640,2.6209,0.9649
3957736 | Can You Feel My Heart (Cut Ver.) [Anguish 1.15x (147bpm)],8.1217,2036,2.9206,1.0531
3889548 | Lunatic Eyes ~ Invisible Full Moon (Cut Ver.) [Blood Moon 1.35x (270bpm)],8.1215,2163,3.1232,0.9581
4469722 | kill the dog [mourning],8.1213,2089,2.9463,1.0371
3773354 | Xronial Xero [ABXOLUTE ANNIHILAXION],8.1198,5943,3.0862,1.0576
3260900 | The Truth Never Spoken [Empty Pages 1.2x],8.1181,2716,2.6624,1.0005
1251236 | Trouble Kuroneko Man'yuuki [Ayumu's Trouble 1.4x],8.1118,2802,2.4847,0.9957
3281146 | Ankoku Butoukai [J-X],8.1025,7110,3.2636,1.0699
3090568 | Crescent Moon Island [Kuro 1.05x (181bpm)],8.0996,2711,3.0374,0.9531
2357903 | Triumphal Return [dou-jack 1.2],8.0957,2639,2.5815,0.9458
1540669 | arpia97's Vibro Anthology [Just Moving On Now],8.0814,1689,2.8452,1.1358
"4153674 | Fight Against the Past [Leave the Past, Enter the Future]",8.0807,7161,3.2570,0.9717
4580605 | Return Of Salieri [He's returning with bags of Wabaloobunga...],8.0773,6212,2.8395,0.9777
4376982 | Everlasting Eternity [Majestic Presence],8.0759,6133,3.7828,0.9989
3820255 | Lazorbeamz [I'M A' FIRIN' MAH LAZER!! 1.25x],8.0728,3334,2.3553,0.9186
2830266 | Hustler (feat. Highdiwaan) [1.1x],8.0702,3014,2.8875,1.0455
3729618 | Makiba [Extra 1.2x (202bpm)],8.0672,2300,2.7030,0.9866
3261956 | arpia97's Vibro Anthology [late in autumn],8.0591,1716,2.9223,1.1180
3674470 | GOTTASADAE [GOTTASADAE x1.25],8.0587,2523,2.5497,0.9730
2889383 | Karma [Gloom x1.4],8.0561,4496,3.0494,0.9708
2650377 | H.A.R.D.C.O.R.E. [Hell [1.2x Rate]],8.0538,9093,2.3808,0.9504
3782700 | Reap What You Sow [1.2],8.0529,2961,3.1303,1.0081
480467 | Rave 7 [Insane],8.0521,1656,3.3239,1.1075
2433643 | Nest [Egg 1.2],8.0436,2341,3.1309,1.0047
3315959 | Kitsune no Yomeiri [Fox [160]],8.0428,2871,2.3375,0.9315
3909139 | You Say Run [Gift [1.1x Rate]],8.0420,3995,2.7551,1.0037
4485051 | Deep Down (Sped Up Ver.) [You & I (1.05x)],8.0417,2072,2.8516,1.0305
3084906 | Matusa Bomber [1.15],8.0291,3630,3.1127,0.9406
3877203 | NEURO-CLOUD-9 [099],8.0263,5637,3.2519,0.9941
2875456 | Angel's Salad ('Le mythe etendu' ver.) [indifference 1.2],8.0019,3800,3.1951,0.9738
2701198 | Time to Say Goodbye [Farewell 1.15x (287bpm)],8.0008,3353,2.9255,1.0066
888777 | Palette GAMMA [Myriad (Original)],7.9999,1752,2.8747,1.0245
3588519 | traveling [flowing 1.2x (140bpm)],7.9981,6744,2.0377,0.9526
3473681 | Do It To It (feat. Cherish) [1.3x],7.9959,3167,2.5584,1.0307
2333888 | White Hair Little Swords Girl [Youmu's Dream],7.9947,3278,3.1433,0.9735
2793593 | far in the blue sky... [42],7.9859,3167,2.7864,1.0517
4874228 | Angels Crying [here we go again 1.3x],7.9802,3949,2.3048,0.9430
3328351 | Sendan Life (katagiri Bootleg) [Chord Life [160]],7.9718,3407,2.5794,0.9875
4312004 | Parallel Universe Shifter [Quantum Field Disruption],7.9625,8373,3.7050,1.0172
3816043 | Bookmaker [Extra],7.9612,5463,2.7053,1.0062
2414493 | Edison [Challenge 1.3],7.9590,2509,2.7994,1.0317
1347531 | Precious You* (TV Size) [Top-drawer / x1.3],7.9506,1308,2.8821,1.0927
