Beatmap,SR,Objects,Variety,Spikiness,Switch
3313017 | Pure Ruby [Another],4.5995,1602,3.5054,1.0663,0.9997
1442182 | Unorthodox Red [7K Another],4.5974,3176,3.4842,1.0677,1.0498
414236 | Terekakushi Shishunki [[Shi-Ra]'s Insane],4.5961,2341,3.5580,1.0875,0.9432
4457396 | Circulation [Collab Hard],4.5960,345,3.7399,1.0091,1.0320
1143368 | Mousou Katharsis [_UJ's MX],4.5950,1936,3.8955,1.1964,0.9095
3919702 | Chaos ga Kiwamaru (TV Size) [The Awakening // Insane],4.5950,1045,3.7721,1.0591,0.9918
4465815 | 19ZZ [hyper],4.5938,1393,4.1388,1.1222,0.9478
384381 | HEKIREKI (TV Size) [7K Burst! 'Cruel Shower'],4.5916,1024,3.1358,1.1101,0.9824
1393942 | Piano 7K BMS Pack [toby fox - Death Report],4.5884,905,2.4549,0.9664,0.8788
4179893 | Thrilling One-way [Insane],4.5796,1470,3.4444,1.0102,0.9326
1337059 | Piano 7K BMS Pack [KurousaP ft. Hatsune Miku - Senbonzakura],4.5786,3573,3.1803,1.1258,0.9623
4046510 | Happy Time wa Owaranai (Cut Ver.) [Hard],4.5775,1470,3.5533,1.0296,0.9709
3807645 | Yoake no Uta (feat. DAZBEE) [Insane],4.5762,1060,4.4424,1.0814,0.9992
4554407 | Ataraxia [7K Hard],4.5707,1379,3.6836,0.9595,1.0721
3971898 | Grin [Hikari's Insane],4.5706,2144,3.3171,1.0690,0.9765
521516 | Ignited Night [Blocko's 7K EXpert],4.5696,1161,3.6525,1.0907,1.0020
4396038 | zeeros [Expert],4.5671,1398,3.7149,1.0737,0.9600
545589 | Valedict [Another],4.5650,1154,3.7487,1.2932,0.9293
1282184 | Piano 7K BMS Pack [Lily - Scarlet Rose],4.5636,3228,3.1505,1.0320,0.9333
4844002 | Gregorius | Symphony [Insane],4.5584,3997,3.0145,1.0238,1.0454
2385301 | SPRINGIRLS [Colorful],4.5536,2352,3.3115,1.1412,0.8893
2891116 | Sweet* Witch* Girl* [Another],4.5408,1524,3.4794,1.2642,0.8912
3544168 | Junjou Midnight Densetsu (Game Ver.) [Insane],4.5400,1538,3.3636,1.1243,0.9128
4531576 | Voyage [Another],4.5383,2553,3.1366,1.0777,0.9619
3070837 | Whispers from a Distant Star [Insane],4.5368,1380,3.7428,1.1034,0.9652
1366213 | Scars of FAUNA [Another],4.5336,1441,3.5698,1.1472,0.9368
1037392 | in the Garden [LordRaika's 7K Insane],4.5327,2631,3.5221,1.1203,0.9482
470651 | Neurotoxin [Another],4.5305,1458,3.6538,1.0779,0.9677
326505 | DAYS of DASH (TV Size) [MX],4.5298,934,3.4699,1.1606,0.9396
3833631 | Panorama [7K Landscape],4.5262,2621,3.4900,1.0939,0.9889
1554212 | Deublithick [Capsanother],4.5189,1505,3.5834,1.1985,0.9898
352220 | Weekly Shonen Bye-Bye [A.C's NM],4.5175,2198,3.5358,1.1122,1.0278
690817 | Koi no Serenade [Insane],4.5138,1518,3.5823,1.1079,0.9575
420908 | Salut.soleil! [Salut.soleil!],4.5077,2077,3.6587,1.1077,0.9555
350863 | Airman ga Taosenai (SOUND HOLIC Ver.) [Rumi's Insane],4.5068,2573,3.7656,1.2500,0.9379
4269218 | tinnitus [Hyper],4.5061,2154,3.3693,1.0410,1.0822
2117424 | Birdsong [Insane],4.5054,1470,3.5883,1.1027,0.9326
3670785 | DANGEROOOOUS JUNGLE [EXPERT],4.5052,1630,3.7062,1.1546,0.9877
323956 | Univer Page (TV Size) [richard's 7K MX],4.5007,862,3.8354,1.1869,0.9339
3789489 | Testify [hyahya's Light Future],4.4997,2070,3.7391,1.0573,1.0117
362917 | Disconnected [HEHOOH's 7K MX],4.4982,1698,3.3220,1.1003,0.9361
4111787 | Midnight Musing [a slow walk home],4.4961,125,4.3358,1.0749,0.9954
1619295 | Kikoemasu ka feat. Haruki <Youshouki> (CV: Koinu) [Lenfried's Hard],4.4923,625,4.5756,1.1314,0.9805
3266589 | that day [An Unforgettable Voyage],4.4764,607,4.2488,1.0663,1.0157
4173452 | Everyday World (TV Size) [7K Lonely Desperation],4.4762,1001,3.5327,1.0740,0.9398
3749438 | Yumemigokochi [Lullaby],4.4747,111,4.4401,0.9831,1.0289
3743113 | Positive*Dance Time [fvrex's 7K HIGH! HIGH! HIGH! HIGH!],4.4741,1485,3.3834,1.0924,0.9487
3499109 | AO-Infinity [Another],4.4724,2058,3.8234,1.0916,0.9822
3855009 | BEYOND [Hyper],4.4713,1804,3.2721,1.0857,0.9945
3687119 | S.A.T.E.L.L.I.T.E. [Insane],4.4674,2926,3.8464,1.0569,0.9708
1190980 | TSLove [JessiChanLoves7K <3],4.4649,1194,3.6494,1.0874,0.9692
387054 | Fight 4 Real (TV Size) [RC's 7K Lv. 26],4.4640,975,3.6854,1.1809,0.9772
1322811 | Piano 7K BMS Pack [Konomi Suzuki - This Game],4.4634,3869,3.2442,1.3920,0.9281
3389411 | FREEDOM DiVE [HYPER],4.4629,3420,3.4690,1.0725,1.0215
4369076 | Fin.ArcDeaR [Noch's ADVANCED],4.4621,1381,3.8122,1.0547,1.0678
796849 | Dreadnought [Hard],4.4614,1293,3.8178,1.0757,1.0337
541211 | Quo Vadis [Arcwin's 7K MX],4.4594,1671,3.4565,1.0860,0.9574
4455897 | Chiisana Ketsui [7K Collab Hard],4.4592,278,4.4629,1.1238,0.9965
3251856 | Finder keepers [Insane],4.4584,1659,3.3262,1.0240,0.9813
369698 | Elemental Creation [S.Star's 7K Hyper],4.4582,1468,3.6260,1.0937,1.0158
3447352 | YAHHO!! (TV Size) [_RK's Insane],4.4575,1161,3.3094,1.0889,0.9089
1209101 | HARAJUKU IYAHOI [Sulit [HD]],4.4566,1220,3.5219,1.0300,0.9993
3702393 | w/WWW feat. Hoshimiya Toto [7K // Lami's Insane],4.4566,2726,3.5215,1.1021,1.0021
4763885 | Feral (osu! edit) [Another],4.4554,2571,3.4774,1.0244,1.0377
1670741 | planetarium [ADVANCED],4.4553,1313,3.8195,1.1115,1.0277
320510 | Links (TV Size) [MX],4.4547,882,3.6149,1.1110,0.9401
315246 | Max Burning!! [7K Rage!!],4.4546,1442,3.6377,1.0377,0.9540
2219677 | Hazukashigariya no Toy Soldier [Hyper],4.4541,1912,3.4587,1.0636,0.9883
895750 | Future style [7K Maximum Live!],4.4540,3400,3.3393,1.1608,0.8978
1222519 | Piano 7K BMS Pack [Eyemedia - Bloody Purity (Arr. Salamanz)],4.4492,1698,3.3175,1.2646,0.8587
4579990 | Moonstone [Expert],4.4479,1630,3.4664,1.0606,1.0011
468795 | Aihana (Love+ Edit) [S.Star's Another],4.4449,1595,3.2284,1.1098,0.9881
3821698 | midnight cookie (Cut Ver.) [Ichi-tan's Lunatic],4.4413,1122,3.6606,1.0759,0.9616
3384167 | 300 Nuts Per Minute [7K Big Nuts],4.4411,2294,3.4794,1.1295,0.9962
2270756 | Gardens Under A Spring Sky [Scotty's Hard],4.4404,1371,3.9901,1.0565,1.0348
436786 | Little Busters! (TV Size) [PC's Lv.18],4.4403,908,3.6730,1.0738,0.9508
841216 | Dragon Valley (Toni Leys Remix feat. Esteban Bellucci) [Insane],4.4388,1978,3.7730,1.2696,0.9913
409924 | +Danshi [7K MX],4.4380,2015,3.8213,1.1087,0.9269
4750575 | TATATATA [TA x2],4.4363,724,3.2774,1.0843,0.9612
303311 | WING OF ZERO [7K Insane],4.4337,1175,3.4691,1.3054,1.0115
4092860 | Shiba Paradise [Hard],4.4306,1568,3.6650,1.0265,1.0505
254481 | Brainiac Maniac [Xin_U's 7K Insane],4.4303,1206,3.2999,1.0675,0.9886
1353489 | Breeze [Insane],4.4260,1141,3.5923,1.0678,1.0019
2832684 | Colors [Hard],4.4260,728,4.0509,1.0759,0.9693
4562710 | Andante (TV Size) [Journey],4.4241,886,3.6988,1.0067,1.0628
672098 | anemone [Kawa & Julie's 7K Extra],4.4231,1447,3.0371,1.1284,0.8923
1191946 | Remember Me [Reika's Maximum],4.4226,2197,3.3646,1.2633,0.9500
1970420 | Clockwork Spooks [Hard],4.4177,2155,3.3026,1.0620,1.0566
1012679 | Shounen wa Sora o Tadoru Prog Piano Remix [Sora o Tadoru Chicken's EXHAUST],4.4172,1521,3.5103,1.1604,0.9926
283803 | eternal reality - TV size - [7K MX],4.4172,914,3.7288,1.1977,0.9725
1215701 | Seven Colors [LordRaika's 7K HD],4.4150,2485,3.6006,1.1200,1.0369
1391969 | Remilia ~Kyuuketsuki no Tame no Kyousoukyoku [Wonki's Hyper],4.4147,1192,4.2867,1.1501,0.9920
2219003 | LOSHAXI [INSANE],4.4145,1303,3.7209,1.1006,1.0502
761407 | Kunoichi demo Koi ga Shitai [Luckman's Another],4.4134,1231,3.4757,1.1197,0.9234
4775397 | Nakayoshi! Maru! Nakayoshi! (Kirara Magic Bootleg Remix) [Insane],4.4132,1887,3.8378,1.1049,0.9755
2769816 | Mach space journey [Insane],4.4106,1286,3.5247,1.0847,1.0376
382859 | Rakuen PROJECT (TV Size) [Lv.26],4.4088,1006,3.6530,1.2228,0.9913
403931 | inside [HD],4.4081,514,4.5392,1.1239,1.0053
218060 | Workaholic [Insane],4.4076,2808,3.2651,1.1531,0.9658
4318943 | Take a Hint feat. Victoria Justice & Elizabeth Gillies (Sped Up & Cut Ver.) [Hard],4.4044,579,3.6069,1.0431,0.9569
4115624 | Mad Piano Party II [Insane],4.4036,1997,3.2044,1.0352,0.9818
326968 | Maware! Setsugekka (TV Size) [7K Another],4.4032,1226,3.3353,1.0707,0.9367
3235400 | drop pop candy (Cut Ver.) [7k fluttering love],4.4007,903,3.6170,1.0918,0.9425
1182318 | o'er the flood [insane],4.3996,2886,3.5614,1.1838,0.9300
698743 | Kyun Kyun Tamaran Inaba-tan. [Ichi-tan's Lunatic],4.3962,1587,3.3865,1.1525,0.9053
329212 | sister's noise (TV Size) [Lv.23],4.3955,896,3.7423,1.1480,0.9329
"328346 | Though the Scent Lingers, the Flower Scattered [Lunatic]",4.3938,878,3.5942,1.1078,0.9426
2158409 | Kuishinbo Hacker feat. Kuishinbo Akachan [Akasha's Insane],4.3903,2506,3.5843,1.0163,0.9910
4737507 | caramel ribbon cursetard (TV Size) [Caramel],4.3859,687,3.7645,1.1511,0.9831
737488 | Funwari Fuwari [yoshilove's Uryu~],4.3847,1693,4.0065,1.1555,0.9685
3165978 | ANiMA [Hyper],4.3816,2777,3.7434,1.1082,0.9814
4427876 | Story [Our Chapter feat. Ainer],4.3806,2268,3.5591,1.0697,0.9494
440283 | Let Me Hit It [Garou's 7K MX],4.3777,1426,3.5018,1.1287,0.9659
466641 | Enmei Chiryou [Ene's 7K MX],4.3754,1914,3.9921,1.1644,0.9418
785236 | Little Busters! (TV Size) [PC's Lv.20],4.3753,910,3.6201,1.1658,0.9493
270831 | unfinished (TV Size) [7K Burst],4.3749,934,3.4005,1.2782,0.9343
874799 | No title [Insane],4.3748,1055,3.2079,1.0692,0.9729
519068 | Connect -TV MIX- [Rumi's MX],4.3737,791,3.6822,1.1338,0.9332
3557017 | Erebus [Another],4.3727,1521,3.2102,1.0403,1.0058
3747687 | To the Shining MiLie [Insane],4.3722,1501,3.3646,1.0862,0.9448
2773560 | Kaori no Yaruki Switch! (Cut Ver.) [Sweetly!],4.3712,1259,3.2030,1.0817,0.9567
3310913 | dammit [goddamn],4.3681,1393,3.8686,1.0239,0.9956
1024657 | Sore wa Chiisana Hikari no Youna feat. k*chan [ dj-Jo Remix ] [Sulit [HD]],4.3657,2697,3.5603,1.1132,0.9175
1349108 | Piano Beatmap Set [Liebestraum - 7K Full],4.3657,1886,3.4632,1.2710,0.8273
316835 | Shuffle Heaven [DJPop's Hard],4.3646,1211,3.3603,1.0843,1.0335
298815 | The Island (MaxNRG Remix) [7K The Island - Insane],4.3627,3381,3.4344,1.2042,0.9040
3592773 | SILENT BLUE [EXPERT],4.3612,1478,3.6533,1.0989,1.0485
1283894 | Inscape [ADVANCED],4.3548,1180,3.7731,1.1144,1.0364
3553733 | Sky Gate [Wish],4.3495,3018,3.6453,1.0246,0.9827
359491 | SAVIOR OF SONG (TV Size) [KK's Insane],4.3455,843,3.6497,1.1997,0.8986
3689719 | Chroma (Game Ver.) [Canvas & Painting],4.3446,753,3.6276,1.0655,0.9729
4552658 | Glooorious!! [Hard!!],4.3386,1601,4.0741,1.1081,1.0375
4231311 | Glucagon [7K Insane],4.3381,2473,3.3057,1.1067,0.9691
2545608 | SCREW // owo // SCREW [ExNeko's Hyper],4.3342,1308,3.8231,1.1069,1.0433
1393936 | Piano 7K BMS Pack [9mm Parabellum Bullet - Inferno],4.3324,1153,3.3283,1.1633,0.8789
428102 | Analyze [Luckman's 7K MX],4.3314,951,3.9692,1.0618,1.0304
3796751 | Prayer [Hyper],4.3258,1330,3.7799,1.0516,1.0096
543947 | Romancing Layer [Lv.23],4.3246,975,3.6033,1.0947,0.9991
2314040 | Module_410 [Hard],4.3241,1042,3.6616,1.1663,0.9617
4689709 | UNDEAD [Insane],4.3214,2103,3.7257,1.0598,1.0193
1041821 | athletic meet of sound toy [Hard],4.3209,1127,3.5129,1.1062,0.9399
3379278 | Lapis [Another],4.3206,1603,3.3543,1.0304,1.0022
4005912 | THE EARTH [Insane],4.3200,1468,3.4470,1.0723,0.9900
391016 | End Time [Interlude],4.3197,1031,3.8146,1.1264,1.0127
1282169 | Piano 7K BMS Pack [toby fox - Can You Really Call This a Hotel I Didn't Receive a Mint On my Pillow],4.3173,890,3.1431,1.1390,0.9301
2532342 | DUN DUN [PENGDOLL'S HYPER],4.3158,1568,4.0236,1.2097,0.9878
4203489 | Aozora no Rhapsody [Basil's Hard],4.3156,280,4.2905,1.0371,1.0297
3607971 | Magical World (Short Ver.) [Let me fulfill your Heart's Desire!],4.3149,803,3.6988,1.0817,0.9709
1014642 | Glorious Crown [richard's 7K Hyper],4.3140,971,3.9632,1.0628,1.0520
2689010 | Sociometry (TV Size) [Insane],4.3127,1040,3.5109,1.0312,1.0067
4070627 | Shooting Athletes [Hard],4.3109,1208,3.6839,1.0615,0.9650
426032 | Blowin' [Hard],4.3104,1619,3.8485,1.0904,0.9905
3486602 | Terrasphere [Insane],4.3081,1534,3.6423,1.0912,0.9471
505799 | Bangin' Burst [Lvl 25],4.3058,1286,3.7482,1.1308,0.9990
1786029 | I [Wonki's ADVANCED],4.3052,1242,3.9327,1.0775,1.0682
1128088 | On the FM [KK's 7K Hyper],4.3001,1050,3.8349,1.1105,0.9696
721371 | ANiMA [Ryosaka's 7K Lv.19],4.2998,1094,3.8582,1.1634,0.9999
300492 | TRIGGER*HAPPY [Skalim's 7K EXHAUST],4.2991,1226,3.7636,1.2476,0.9480
3553140 | [@__@] [[i__i]],4.2991,1075,3.8110,1.1973,0.9255
356066 | SAVE MY HEART (TV Size) [7K MX],4.2951,912,3.5918,1.2605,0.9750
448352 | Hyori Ittai [Lv.19],4.2949,795,3.9705,1.1297,0.9509
4489965 | Clover [Another],4.2939,2504,3.5719,1.1257,1.0311
3393250 | God-ish [Insane],4.2930,2262,3.8750,1.0451,1.0300
1030861 | Ikenai Borderline [Emiria's 7K G],4.2927,1861,3.2108,1.2075,0.9056
"245873 | Piano Concerto No.1 ""Scream"" [LV.23]",4.2927,1280,3.6628,1.1723,0.9553
849280 | Quietus Ray [Kyou's Another],4.2882,1247,3.7858,1.1513,0.9981
437109 | Saika [Lv.24],4.2878,1112,3.6629,1.1238,0.9758
949607 | Enigma [ADVANCED],4.2870,1296,3.7779,1.0719,1.0126
3402279 | Oz. (TV Size) [Insane],4.2866,516,4.0999,1.0579,0.9309
3319467 | Sing My Pleasure (TV Size) [Singularity],4.2865,1038,3.5902,1.0622,0.9649
530561 | Garyou Tensei [Usagi's 7K HD],4.2842,996,3.8791,1.0996,1.0134
4647723 | Rabbit Hole [Hyper // Ultimate Spender],4.2813,1765,3.8088,1.0665,0.9947
1042908 | Owari no Sekai kara [7K IN],4.2808,2734,3.8395,1.2465,0.9084
1032593 | crepuscular rays [Insane],4.2803,1407,3.4985,1.1700,0.9189
941148 | Reminiscing [Another],4.2803,1409,3.8438,1.1789,0.9825
1282190 | Piano 7K BMS Pack [toby fox - Spider Dance (Alternate Chart)],4.2799,1415,2.9656,1.1705,0.9753
1475969 | Shanghai Kouchakan (Orchid Remix 2017 Update ver.) [Virtue's Hard],4.2785,1607,3.8947,1.0775,0.9888
1858949 | Fracture Ray [CS' Present],4.2785,1165,4.1516,1.0876,0.9825
2939165 | L99 [EX],4.2779,1846,3.3466,1.0968,0.9790
4207730 | Ego Ego Atakushi [Insane],4.2762,1806,3.2400,1.1002,0.9328
255968 | Natsuiro Surprise [Insane],4.2749,1247,3.5850,1.1007,0.9148
793338 | Parousia [HD],4.2742,1220,3.9485,1.1887,1.0172
481701 | Reverence [Insane],4.2741,1866,3.6677,1.1557,0.9333
1367579 | Mama ft. William Singe [AJIekceu's 7K Stress Mind],4.2738,818,3.7336,1.1371,0.9569
1349304 | Ongaku -resolve- [Hyper],4.2729,1309,4.0928,1.0967,0.9817
3479356 | enchanted love [_rk's hard],4.2706,1111,4.0666,1.0438,1.0099
223266 | Wu Xuan Lan [7K FEVER],4.2655,1043,3.4212,1.1431,0.9201
1201542 | MarbleVirus [Hard],4.2628,534,3.5034,1.0584,0.9526
361770 | Acceleration [KK's 7K MX],4.2623,940,3.5358,1.0530,0.9793
4703114 | Electroman Adventures [Another],4.2601,2122,2.6926,1.0462,0.8525
4659811 | Five [Another],4.2594,1377,3.3872,1.0923,0.9443
2110246 | Uchouten Vivace [Insane],4.2579,3020,3.0845,1.0223,0.9955
2376148 | TSLove [Hard],4.2557,953,3.9503,1.0465,1.0075
1002358 | Ren-chon no Drum 'n' Bass [Nap's 7K Uta Desu],4.2530,587,3.3272,1.0987,0.9471
569712 | FIRE FIRE -DARK BLAZE REMIX- [EXHAUST],4.2524,1272,3.7794,1.1938,0.9759
4846277 | MI:LIGHT CONNECT [Hard],4.2496,1560,3.7906,1.0273,0.9931
3315674 | Hiyokko Santa to Yuki no Machi [Hard],4.2492,1531,3.7949,1.0661,1.0257
966813 | LN Dan Phase I [0th Dan (Marathon)],4.2490,1882,4.4604,1.1038,0.9675
579123 | ZZ [MX],4.2484,1298,3.4085,1.0842,1.0177
4164106 | Lazy! [Maybe Later...],4.2466,1917,3.2940,1.0310,0.9912
3932884 | KICK BACK [Hard],4.2448,1838,3.8867,1.0241,1.0807
479487 | Shinobi [7K Hard],4.2433,1575,3.7810,1.1099,0.9615
232025 | uni [Insane],4.2420,1536,3.7148,1.1286,0.9486
3823118 | Angel's Ladder [Hyper],4.2398,1008,4.0538,1.0546,1.0420
3192669 | Kaimin! Anmin! Syalist Seikatsu (TV Size) [7K Insane],4.2388,828,3.6775,1.0945,0.9373
4474765 | Genyo Ressha no Tabi [Insane],4.2364,1203,4.0644,1.0004,1.0443
"4313962 | good morning my dearest robot [let's sleep, my dearest robot | normal]",4.2355,1139,3.8526,1.1305,1.0725
4223390 | TWiNKLE CiRCLE [EiNEN'S HARD],4.2329,1035,3.7927,1.0363,0.9792
3423803 | Exitium [Insane],4.2314,1534,3.7828,1.1714,1.0419
2428770 | entelecheia [Hard],4.2306,1026,3.7865,1.0859,1.0020
2780013 | Ano Yume o Nazotte [Hard],4.2268,2328,3.7113,1.0541,0.9633
4829103 | NOVO HORIZONTE [Hard],4.2218,1957,3.4282,1.0265,1.0294
467380 | Oracion(TV-Size) [7K MX],4.2212,912,3.5104,1.0838,0.9139
4598707 | Nyanderful days [Sun's 7K Hard],4.2172,963,3.6103,1.0628,0.9494
3118467 | Orfevre [Another],4.2166,1385,3.2720,1.1521,1.0069
2575857 | Spatto! Spy & Spyce (TV Size) [Hard],4.2128,922,3.8220,1.0902,0.9645
3577618 | Sakura Fubuki [Insane // Budding],4.2107,1105,3.6475,1.2250,0.9781
662764 | ApolloN [7K Hard],4.2093,1148,3.5733,1.1941,0.9677
4428877 | Endless Carnival [Insane],4.2041,2179,2.9541,1.0635,0.8463
1282187 | Piano 7K BMS Pack [toby fox - NGAHHH!!! (Alternate chart)],4.2037,1118,3.3693,1.0782,0.8657
1342111 | Breeze [Hard],4.2037,981,3.5799,1.1132,1.0335
1337026 | Piano 7K BMS Pack [DJ YOSHITAKA - Evans],4.2030,1325,3.5241,1.3127,0.9557
2326182 | MELODY FLAG (Amii's Edit) [7K Hard],4.2023,2121,3.5760,1.0593,0.9384
536713 | AXION [Hard],4.2015,995,3.9590,1.1440,0.9933
3158373 | comet (Cut Ver.) [hard],4.1924,910,3.7557,1.0137,0.9637
369539 | Songs Compilation [MaRaython],4.1919,3944,4.1186,1.2479,0.9337
1122861 | Illusion of Inflict [7K Hyper],4.1908,1400,3.7281,1.1878,1.0097
546057 | Jousou Dystopia [Tour de Force],4.1841,1311,3.5156,1.1515,0.9470
2965673 | SaiGetsu (Cut Ver.) [CT's 7K Coruscating Landscape],4.1815,1503,3.0961,1.0884,0.9618
543728 | Out Of The Blue [7K Insane],4.1808,1431,3.7010,1.2226,0.9541
284390 | Catastrophe [Insane],4.1798,1337,3.8544,1.2380,0.9619
2007971 | Koakuma x3 no Daidasso!? [Hard],4.1785,1448,3.7261,1.0661,0.9937
4380904 | that day [Journey],4.1779,523,4.2640,1.0253,1.0086
1625602 | Can't Stop Lovin' You [7k Challenge],4.1778,2719,3.7125,1.0699,0.9291
853365 | Persephone [Hyper],4.1776,1182,3.8277,1.1050,0.9609
1144181 | Flower Flag [Hard],4.1766,2370,3.6684,1.1246,0.9764
3797364 | United (L.A.O.S Remix) [Blocko's Another],4.1759,4044,3.4473,1.1422,0.9384
302629 | MEPHISTO [Roxas' MX],4.1758,1204,3.5241,1.0773,1.0532
2835110 | w = addict [Hyper],4.1757,1075,3.6999,1.0659,0.9632
2240474 | #be_fortunate [#reba's_hyper],4.1740,1666,3.4692,1.2069,0.9668
256643 | Sweet Rain [LV.22],4.1718,1096,3.9520,1.0981,0.9833
428255 | Preserved Roses (TV-Size) [NaxelCL's 7K MX],4.1703,759,3.7973,1.0996,0.9847
4588288 | DiSANiMATE [Hyper],4.1678,4000,3.7003,1.0552,1.0220
359560 | 2A-Attack [Maximum],4.1670,2360,3.6054,1.1428,0.9627
446059 | Wings of Courage -Sora o Koete- [PC's Insane],4.1650,1383,3.2787,1.1698,0.8902
2355061 | Oriens [7K Insane],4.1570,1293,3.7512,1.0577,0.9491
4142111 | DOGFIGHT (TV Size) [Insane],4.1564,1129,3.3067,1.1338,0.9046
342339 | You Make Me [RC's 7K MX],4.1545,746,3.4467,1.2046,0.9187
"1345630 | Dakara, Hitori ja Nai -TV Size- [Arcwin's 7K MX]",4.1542,1011,3.3873,1.0534,0.9417
889962 | Horang Pungryuga [qodtjr's MX],4.1538,1183,3.7546,1.0448,0.9917
2826776 | Magical Girl*Conflict [Nabi's Hard],4.1508,994,3.7391,1.0153,0.9975
"538044 | world's end, girl's rondo (Speed Up Ver.) [MX]",4.1465,908,3.4186,1.1150,0.9281
3537172 | Aegleseeker [Past],4.1457,1705,3.6843,1.1169,0.9823
4062507 | Myosotis (Remixed By Yamato Kasai From Mili) [Maple's Hard],4.1450,561,4.7131,1.0394,1.0100
2508648 | Flamenco House [Hard],4.1440,1660,3.5596,1.0529,1.0292
691638 | Ghostly Band ~ Phantom Ensemble [MX],4.1410,2774,3.1169,1.1430,0.8493
395700 | Get goal! (TV Size) [KK's 7K MX],4.1397,887,3.6784,1.1576,0.9635
1337006 | Piano 7K BMS Pack [Rche - Todestrieb (Lite)],4.1365,1516,3.4725,1.1663,0.9418
1965444 | VERVERG [Special],4.1365,1065,3.4765,1.1228,0.9093
261970 | Conflict (Vocaloid Ver.) [HD],4.1328,1207,3.9008,1.1810,0.9617
546992 | Renatus [LordRaika's 7K Hard],4.1309,2057,3.8968,1.1072,1.0039
3789500 | Testify [Present],4.1299,1782,3.8460,1.0846,0.9776
667145 | Taiyou Paradise [Vanilla [Etlie's 7K MX]],4.1279,1125,3.8410,1.1336,0.9560
1322795 | Piano 7K BMS Pack [96neko - Uso no Hibana],4.1264,1259,2.8674,1.0608,0.8496
299539 | Hades in the Heaven [DJPop's Insane],4.1253,1324,3.7462,1.1868,0.9449
654875 | Blow with the Fires [Kivi's 7K Semyon MX],4.1191,707,4.0665,1.0261,0.9910
507675 | Go Beyond!! [Ichi's 7K Hyper],4.1186,795,3.9975,1.1650,0.9844
2526295 | Aurolla [ADVANCED],4.1162,1401,3.7748,1.0614,1.0484
309121 | Terminal March [[Shi-Ra]'s Hell March [HD]],4.1155,990,3.5954,1.1019,0.9397
4156258 | Moonlight [Hyper],4.1115,657,3.2683,1.0778,1.0271
2083276 | 100% Chu~Gakusei (TV Size) [Hard],4.1112,1041,3.6029,1.0392,0.9814
2795854 | LOA2 [Jakads' HARD],4.1096,1311,3.6666,1.0606,1.0051
641639 | anemone [7K Another],4.1036,1072,3.3782,1.2095,0.8218
356153 | Shooting Star [RC's 7K MX],4.1017,760,3.7321,1.0952,0.9670
4487942 | Haru (TV Size) [Lude's Hard],4.1017,789,3.8640,1.0475,0.9971
1935560 | Oriental Blossom [Madoka's 7K ADVANCED],4.1012,1178,3.7621,1.1072,0.9781
1255014 | Piano 7K BMS Pack [Rika Mayama - Liar Mask],4.0961,2763,3.6039,1.2836,0.8098
2518715 | Realize (TV Size) [Hard],4.0918,853,3.8632,1.0901,0.9713
1230067 | Mawaru Sora Usagi [Normal],4.0910,712,4.0565,1.1531,0.9414
4560805 | Tonight We Fly [Hard],4.0910,1178,4.1130,1.0475,0.9933
1489171 | Future Cider [Arzenvald's Hyper],4.0907,2205,3.7747,1.0947,0.9669
4244854 | Infinity Heaven [Hikari's Hard],4.0900,1373,3.7247,1.2012,0.9138
3204264 | Ji Ming Yue [Hyper],4.0898,984,3.8037,1.1566,0.9290
263547 | You & Me [7k Insane],4.0858,2184,3.8107,1.2094,0.9544
522454 | Nichijou Decoration [Insane],4.0856,850,3.7107,1.4144,0.9184
985048 | archive::zip [Reba's ADVANCED],4.0855,1166,3.9182,1.2060,0.9763
313891 | Stay with me [MX],4.0838,962,3.8878,1.1890,0.9772
683579 | Kimiiro Signal-TV size ver.- [Shici's 7K MX 'Heroine'],4.0815,785,3.7638,1.2374,0.9193
2777177 | CHASE! (Short Ver.) [Scarlet],4.0803,1169,3.6060,1.1269,0.9268
1337003 | Piano 7K BMS Pack [Tatsh&NAOKI - Red Zone (Lite)],4.0789,1705,3.1428,1.0768,1.0113
360634 | This Will Be the Day (feat. Casey Lee Williams) [7K Insane],4.0779,657,3.3579,1.1069,0.9412
2172022 | R.I.P. [7K Hyper],4.0767,1288,3.6293,1.1096,0.9242
3031888 | Shelter [Solitude],4.0761,2209,3.6369,1.1372,0.9469
897119 | Theme of Rabi-Ribi [7K Insane],4.0749,943,3.5416,1.3433,0.9095
1140001 | Alola!! [Alola!! / 7K Hard],4.0700,974,3.5080,1.1140,0.9345
1003875 | Mezameta Asa ni wa Kimi ga Tonari ni (TV Size) [Sangat Sulit [MX]],4.0674,1074,3.4114,1.0747,0.9031
442124 | Snow halation (TV Size) [Rumi's MX],4.0663,1163,3.9734,1.2023,0.9248
1959337 | L.F.O [Hikari's Hyper],4.0641,1165,3.6914,1.1937,0.9369
374723 | INFINITY OVERDRIVE [EXHAUST],4.0627,1174,3.7242,1.0908,0.9438
1956477 | New World [Toaph's Hyper],4.0610,1437,3.1189,1.1321,0.8853
284494 | Catastrophe [Hard],4.0593,1131,3.9007,1.2907,0.9621
4284476 | Da Lang Tao Sha [Hard],4.0565,1530,3.9456,1.0499,0.9808
273738 | fortissimo -the ultimate crisis- [Insane],4.0517,2633,3.7794,1.1783,0.9641
2131282 | Vindication [Hyper],4.0509,1429,3.8320,1.1349,0.9595
