Beatmap,SR,Objects,Variety,Spikiness,Switch
3469929 | Frontier Explorer [Voyager (MWC) 1.05x],8.9603,4470,2.3885,0.9853,0.9402
"2247219 | Tiny Little Adiantum (deadman's ""Omae Wa Mou"" remix) [Shindeiru x1.3]",8.9478,3118,2.3381,1.0157,0.8548
4089432 | Triumphal Return [7K Last Mission],8.9456,3678,2.8154,0.9771,1.0187
4763043 | Fractured Heaven [Dominion],8.9414,4722,3.0231,1.0584,0.9837
982566 | toromi hearts 2 [Pain],8.9383,5100,2.9771,1.0446,0.9499
1140933 | bbu2's DJ Sharpnel 7K [Over The Fullereneshift [FINAL EXAM]],8.9379,6903,2.8074,1.0275,0.9880
4185165 | Selenadia [Flight],8.9267,3773,2.7844,0.9843,0.9759
4224583 | Ultimate Weapon -the Last Ruling- [Armageddon],8.9257,5200,3.1234,1.0248,0.9882
1520683 | SSjoy Dan [xi - Longinus],8.9250,7390,2.7932,1.0355,0.9785
4797713 | FAKE PROMISE [TRUTHFUL LIE 1.05x (200)],8.9248,11950,2.4855,0.9869,0.9591
3968336 | GHOST VS. GHOUL Mashup [Apparition],8.9240,7601,3.1819,1.0224,0.9997
4034413 | Destin Victorica (Harddance Mix) (Nightcore Mix) [Eternity],8.9231,11457,2.3565,0.9526,0.9797
1140934 | bbu2's DJ Sharpnel 7K [WE LUV LAMA [Finale]],8.9138,9442,2.5339,0.9749,0.9749
4498837 | O108ROCKET (feat. Neko Hacker) [Terni in Space],8.9114,5473,3.3904,1.0352,1.0171
3413772 | saihate [Leeju's 7K Eternal Slumber 1.2x],8.9050,3381,3.0937,1.0227,1.0305
3362668 | crazy_tek (DJ Noriken Remix) [UHD 0.95x],8.9029,4011,2.8392,1.0269,0.9687
4009429 | Digital Life Hacker [Digital Friend Request (MWC Edit)],8.9001,4871,3.2971,1.0214,1.0299
4224584 | Ultimate Weapon -the Last Ruling- [Catastrophe],8.8928,5000,3.2212,1.0435,0.9927
3420372 | SSjoy Dan [BlackY vs. Yooh - MEGATON BLAST (tpz Overcute Remix)],8.8847,3523,2.7397,0.9859,0.9653
3970789 | Hana no Tou [Taikutsu],8.8819,7100,3.0170,1.0487,0.9985
2435811 | Nisemono [Fake],8.8788,7132,3.4304,1.0470,1.0015
3789504 | Testify [Fatal Decisions],8.8786,3648,3.5079,1.0005,1.0309
2477482 | PEACE BREAKER [Fallout. 1.1],8.8770,8114,3.0313,1.0411,1.0663
4275217 | Speedcore Sonata [Prestissimo],8.8727,4181,3.0904,1.0764,1.0149
3639450 | STRONG 280 [underjoy's TSUYOI],8.8708,7356,2.8606,1.0171,1.0210
924440 | over the top [Caramel],8.8706,3057,3.0161,0.9936,1.0421
4077567 | Frontier Explorer [Blocko's Voyager],8.8705,4601,2.3930,0.9999,0.9558
2981101 | Nakano Yuko Map Collection [Seiryu - 3y3s (AJURIKA Remix)],8.8699,5425,2.9036,1.1370,0.9636
1560786 | I [PERPETUAL LOVE],8.8685,2723,3.2796,1.0436,0.9716
3467054 | Tsukiyo ni Mau Koi no Hana [underjoy vs _Reimu's Heartbreak],8.8677,4555,3.2405,1.0304,0.9794
4520609 | Campanella [NoName's 7K Flight],8.8666,3654,2.7651,0.9754,0.9988
883028 | Japanese Transformation [AAA],8.8647,5858,2.9644,1.0193,0.9895
1888343 | LA MD [LAAAAAAAAAAAAAAAAAAAAAAAA x1.1],8.8538,9608,2.7454,1.0028,0.9751
2480546 | 7K Utattemita Pack 2 [EGO Rock (poston)],8.8524,2000,2.6075,0.9378,0.9836
1294901 | Cartoon Candy [Chextoon Cankads' 7K Sugary],8.8485,5184,3.2632,1.2192,0.9576
"2727115 | Energy * Drin-ko * Fein-chan!  (Camellia's ""MONSTERISTIC"" D. M. P. Remix) [Energy Drink]",8.8302,7946,3.1347,1.0209,1.0000
3389477 | dressurf's 7k practice charts [Hommarju - Rock it],8.8243,3107,2.9450,1.0279,0.9288
1679784 | Last Resort [AncuL's MAXIMUM],8.8204,2827,3.1865,1.0447,0.9827
3789496 | Testify [Leeju's Oath],8.8138,3845,3.3508,1.0267,1.0148
2556940 | LN Dan Phase III [Gamma Dan],8.8130,9315,3.6257,1.0099,1.0380
3420373 | SSjoy Dan [Hino Isuka + Umeboshi Chazuke - Bomb Bang Bound!!!],8.8110,8889,2.7418,1.0014,0.9898
2769923 | Frontier Explorer [Voyager],8.8077,4482,2.4342,0.9991,0.9498
"3674647 | Diastrophism (""Anamorphism"" Long Ver.) [Shockwave]",8.8048,6509,3.2186,1.0191,1.0099
884617 | Doppelganger [Alter Ego],8.8043,3569,3.0985,1.0659,0.9148
3179522 | PAM!!! feat. Onjuicy [FOXSKY Version] [7K MONK MONK MONKAS!!! Arc [1.1x Rate]],8.8026,4449,2.8252,0.9976,0.9831
329172 | Music Revolver [SHD],8.8026,2132,3.1442,1.0013,1.0567
4490001 | Tonight We Fly [Soaring],8.8008,2994,3.5579,0.9881,1.0468
653533 | Blue Zenith [Bluanother IV (Lapis Lazuli)],8.7995,5632,2.8857,1.0189,1.0262
3038384 | floating point (Drumcorps Remix) [Approximation 1.2x],8.7914,3890,3.0902,1.0901,0.9524
2923827 | KLASSIKER EINHEIT [BMS LV.24 (1.1x) [Yasashiku]],8.7866,6876,2.5384,0.9949,0.9953
3344165 | Nibelungen [Requiem],8.7856,3893,3.1466,1.0503,0.9611
3360727 | confusion [conspiracy],8.7820,4900,3.2916,1.0640,0.9917
2056739 | Bomb Bang Bound!!! [BBB!!!],8.7785,8902,2.7697,0.9992,0.9965
1531013 | Deublithick [Mania],8.7757,2922,2.9167,1.0440,0.9070
4000342 | Switchback [NS Deluxe],8.7714,9950,3.3248,1.0599,1.0077
4021629 | BLUE ARMY (Raytoly's Progressive Hardcore Sped Up Edit) [Gladiator],8.7653,4274,2.9273,1.0306,1.0227
1979885 | Regular Dan Phase III [Gamma Dan],8.7642,12003,3.0805,0.9976,0.9731
4374425 | White Aura [Rainbow Aura],8.7591,2589,3.0786,0.9792,1.0117
2352814 | We Want To Run [Extreme],8.7559,4135,2.9992,0.9793,1.0086
2140933 | Pictured as Perfect and Plus [Dream // 7K],8.7552,5861,3.4457,1.0963,1.0071
4114335 | LIMBO [BKwind's JUDGEMENT],8.7551,4353,2.8159,0.9934,0.9856
"2465487 | Pengdoll's BOSS Map Collection [TAG underground overlay - Over The ""Period""]",8.7532,2724,3.3208,1.0469,0.9633
1309810 | SSjoy Dan [Camellia - ANOMALY],8.7418,6025,2.8519,1.0569,0.9346
1542073 | SSjoy Dan [Camellia - Fastest Crash],8.7399,5909,2.8405,1.0627,0.9278
2753423 | Generic Holiday Song [* Merry Christmas ! ! * [1.3x Rate]],8.7310,3370,2.9296,1.0623,0.9329
4065226 | Eviternity [Eternity],8.7291,3551,3.2978,1.0029,1.0146
3449261 | Cosmo Station [Lunatic],8.7232,5077,3.2378,1.0127,0.9866
3505511 | Gypsophila [cocoon st0 1.3x (196bpm)],8.7190,2569,3.2021,1.0181,1.1223
3397418 | Tactical railroad [RE : Destruction],8.7150,7415,2.6212,0.9647,1.0067
386835 | Towa no Kizuna feat. Another Infinity [7k - hard lvl 91(LCH+MoTeSolo)],8.7082,4346,3.0424,1.0563,0.9796
2465488 | Pengdoll's BOSS Map Collection [Yu^ta - Ningyou Gakudan ~Puppet Ensemble~],8.6986,4636,2.5052,1.0325,0.9599
1185659 | Angelic Party [Evening & Jinjin's Collaborative Party!],8.6907,6800,2.8422,1.0174,0.9633
2465482 | Pengdoll's BOSS Map Collection [Hinatabi Bitter Sweets - Catharsis no Tsuki],8.6889,4228,2.9343,1.0489,0.9945
3178666 | Ko Inu [aphotic],8.6853,5400,3.2033,1.0232,1.0109
3677003 | Rebellious exorcist [Eternal Torment],8.6701,8920,3.0970,1.0042,1.0360
4001513 | SYSTEM ERROR [Obsession: Nyctophilia],8.6657,7270,3.2554,1.0090,1.0410
3641580 | Dancing In The Blue [To You x1.4],8.6598,4288,2.7827,0.9699,1.0093
3124651 | Lost Umbrella (7_7 bootleg) [Rain 1.2x],8.6597,4144,2.6827,0.9697,1.0071
3362668 | crazy_tek (DJ Noriken Remix) [UHD 0.9x],8.6564,4011,2.8149,1.0287,0.9680
"3879909 | Aegleseeker (""Afterworld"" Full Version) [Extreme]",8.6542,8072,3.4745,1.0779,1.0481
2465485 | Pengdoll's BOSS Map Collection [LiA - Mukanjou Diamond Heart],8.6511,3289,2.9491,1.0291,0.9914
646681 | MANIERA [Masterpiece],8.6453,2997,3.2309,1.1160,0.9932
2480547 | 7K Utattemita Pack 2 [LIME LIGHT (minta)],8.6407,5000,2.8110,1.0370,0.9519
3856447 | M2U Pack [PandorA 7K],8.6309,3237,2.7782,1.0678,0.9407
1888342 | LA MD [LAAAAAAAAAAAAAAAAAAAAAAAA x1.05],8.6276,9608,2.7690,1.0126,0.9654
3470125 | M2U Pack [Magnolia 7K],8.6243,4940,3.2207,1.0305,0.9801
1857798 | Zouka de Arou to Shita Mono [Lunatic x1.3],8.6230,4162,2.8723,1.0063,0.9746
480207 | FREEDOM DiVE [Blocko's 7K Black Another],8.6085,6699,2.8539,1.0446,0.9929
2465486 | Pengdoll's BOSS Map Collection [Rohi - Kanata ni Mau wa Sakura no Senritsu],8.6037,4198,2.8031,1.0403,0.9653
4797717 | FAKE PROMISE [TRUTHFUL LIE],8.6031,11950,2.5001,0.9909,0.9520
429023 | Starry Presto [EX],8.5827,3493,3.1383,1.1081,0.9667
1933286 | GO FOR IT !! (Cut Ver.) [BC x1.3(191)],8.5713,3366,2.4823,0.9932,0.9342
2480550 | 7K Utattemita Pack 2 [Slow Downer (Tsurushima Anna)],8.5685,5000,2.9993,1.0290,0.9576
2697650 | AliVe [pulse],8.5682,5600,3.4237,1.0627,0.9938
1653308 | Corrosion [eZmmR's Masterpiece],8.5593,4230,3.3010,1.0218,1.0223
4009321 | Minerva [Galatia],8.5587,4589,3.3757,1.0063,1.0669
4269221 | tinnitus [Other],8.5532,4188,2.8146,1.0061,0.9680
4231313 | Glucagon [7K Raise it Higher],8.5502,5442,2.6452,1.0770,0.8857
2579640 | Cyber Inductance [AAA],8.5488,8816,2.3474,0.9707,0.9496
4520624 | Symphony Of The Lost Souls [Drifting Astray],8.5475,7691,3.5799,1.0457,1.0024
1481886 | 7K Endurance and Technical Training Pack [Love is War+],8.5427,3333,2.6891,0.9638,1.0036
776886 | Piano Boss Rush [Another],8.5421,12364,3.5289,1.1376,0.9549
"2926837 | Lowermost revolt (""Jeremiad"" Long ver.) [7K // eZmmR & Onta's Impending Judgement]",8.5418,6651,3.2453,1.0502,0.9908
3128024 | PAM!!! feat. Onjuicy [FOXSKY Version] [7K MONK MONK MONKAS!!! Arc [1.05x Rate]],8.5385,4449,2.8931,0.9975,0.9827
4807366 | MI:LIGHT CONNECT [Daybreak],8.5336,3540,3.0661,1.0504,0.9949
1099040 | Dreamin' attraction!!(Extended) [CRASH KBD],8.5281,4889,3.1812,1.0806,0.9462
2480544 | 7K Utattemita Pack 2 [Ame to Petra (Daidai Alice)],8.5246,4200,3.1405,1.0728,0.9725
2562056 | dressurf's 7k practice charts [penoreri - Lancelot ~Flame of the Rebellion~],8.5203,3364,3.1921,1.0078,0.9805
3735376 | Regression -HARDCORE- [Pristine Lunacy],8.5166,8353,2.9911,1.0105,0.9492
766086 | Wind God Girl [TBSM.DPJAM.ME],8.5093,6146,2.9094,0.9850,1.0012
3933878 | Kawaikute Gomen [Chu~!],8.5018,5000,3.3864,1.0043,1.0588
3651709 | Calamity Fortune (extended ver.) [Fortunate],8.4989,10000,2.8367,1.0231,0.9673
1495919 | ENDYMION [Coronation],8.4950,2826,3.0524,1.0236,0.9335
3392521 | ReviXy [ETJun 1.1x],8.4909,4097,2.8607,0.9780,0.9702
4284595 | White Aura [taba2's Substorm],8.4898,2862,2.8900,1.0099,0.9734
2533223 | Aurolla [VIVID],8.4893,2927,3.1594,1.0110,0.9890
3302628 | Viyella's Tears [WAAAAH!!],8.4868,3286,3.2066,1.0356,0.9732
1408890 | Chinese Restaurant [Lv.86 For O2JAM],8.4775,2581,3.1486,1.0306,0.9880
2975220 | saihate [Leeju's 7K Eternal Slumber 1.1x],8.4710,3381,3.1561,1.0373,1.0276
4000612 | Sentimental Surge [Outburst],8.4611,6883,2.4664,1.0009,0.9410
1566335 | Ragnarok [Fate],8.4608,7133,3.2189,1.0425,0.9948
2545327 | LN Dan Phase III [10th Dan],8.4516,8200,3.7256,1.0049,1.0614
